# pons bidding performance corpus v1
# seed=1; exact cells: 64 Pons + 64 BBA per depth 2/4/8/12
# id	origin	depth	category	relative-vulnerability	hand	auction
0	pons	2	representative	none	QT84.A84.K96.J73	P 1S
1	pons	2	representative	none	A.K97.KQJ72.QT96	1S P
2	pons	2	representative	none	Q95.K.AQ97654.52	P 3H
3	pons	2	representative	we	AQJT9.AT.2.AK854	P P
4	pons	2	representative	they	K5.KQ96.KJ2.QJT4	2S P
5	pons	2	representative	we	Q3.JT76.T64.JT53	2S X
6	pons	2	representative	they	863.T2.QJ985.Q54	1H P
7	pons	2	representative	they	T43.QT.JT8652.75	3H 3N
8	pons	2	representative	they	8743.865.J84.KQT	1C 1D
9	pons	2	representative	we	QT9.K875.862.943	1D 1H
10	pons	2	representative	both	KQ.K95.873.K9432	3H P
11	pons	2	representative	both	K432.J.KQ92.J932	1C 1H
12	pons	2	representative	both	KT86532.965.J6.A	P 1D
13	pons	2	representative	both	952.Q83.Q8654.53	P 1C
14	pons	2	representative	none	J963.KJ72.AJ.843	P P
15	pons	2	representative	none	A94.82.A876.T876	P 2S
16	pons	2	representative	none	AQ3.Q764.T93.T97	P 1N
17	pons	2	representative	none	AT.862.T752.AKT7	1H P
18	pons	2	representative	we	.KJT642.K763.AJ7	P 1S
19	pons	2	representative	they	J74.A652.96.KT63	P P
20	pons	2	representative	we	T97.T2.J73.KT973	P 1S
21	pons	2	representative	they	.AQ93.AQ865.KQ94	P P
22	pons	2	representative	they	8652.AT72.KQ75.4	P 1N
23	pons	2	representative	we	AQ842.A875.T.Q97	P P
24	pons	2	representative	they	QJ5.AKQT.3.AKQJ3	P P
25	pons	2	representative	we	98743.9862.93.Q5	P P
26	pons	2	representative	both	Q952.K62.43.J942	1D P
27	pons	2	representative	both	A872.A7542.7432.	1H P
28	pons	2	representative	both	82.J764.A53.KQ96	P 1D
29	pons	2	representative	both	.AK543.AJ642.K84	P P
30	pons	2	representative	none	J86.T7.AKQ94.AK6	P P
31	pons	2	representative	none	QJT98543.A5.3.74	1C 1H
32	pons	2	representative	none	A9542.T72.Q52.AQ	1H P
33	pons	2	representative	none	A94.542.J3.J9874	1N P
34	pons	2	representative	we	Q97.Q.T9764.K863	P P
35	pons	2	representative	they	A973.KQ6.T43.J76	P P
36	pons	2	representative	we	97.T9765.K763.95	1N 2C
37	pons	2	representative	they	42.QJT94.43.JT84	P 1C
38	pons	2	representative	they	KJ632.9764.9.J43	1N P
39	pons	2	representative	we	KJ92.JT2.743.AK6	P 1C
40	pons	2	representative	they	AJ7.A6.K9872.K62	1S 2H
41	pons	2	representative	we	QJ5.QJ653.K74.75	P 1N
42	pons	2	representative	both	Q82.A8743.KQ95.7	P P
43	pons	2	representative	both	KQ2.AK5.QJ83.952	P 1D
44	pons	2	representative	both	J6.J87.J854.J964	P 1N
45	pons	2	representative	both	Q94.T5.AK73.AKJ8	2S P
46	pons	2	representative	none	Q54.A932.JT53.A3	P 1D
47	pons	2	representative	none	5.943.J74.AKJ986	P P
48	pons	2	representative	none	K9..T97654.KJT54	1C 1H
49	pons	2	representative	none	8.KQJ8752.2.K932	P 1D
50	pons	2	representative	we	A652.K653..J8752	3D P
51	pons	2	representative	they	9742.J954.QJ5.96	1C P
52	pons	2	representative	we	Q2.AJ87.Q3.T9752	1S P
53	pons	2	representative	they	KT98743.J5.Q95.6	1D 1N
54	pons	2	representative	they	AT975.Q7.762.KQ7	P P
55	pons	2	representative	we	Q72.AKQT5.J5.K83	P P
56	pons	2	representative	they	QT6.QJT32.J.AQJT	P P
57	pons	2	representative	we	K864.A3.943.A865	1H P
58	pons	2	representative	both	T2.K752.KJ87.AK2	P 1N
59	pons	2	representative	both	AQ53.2.8742.AJ98	P P
60	pons	2	representative	both	8.KQ543.7.KQ8654	P 1S
61	pons	2	representative	both	J86.AT98.AJT7.AK	P P
62	pons	2	authored-shallow	none	98.K5.KQ9654.A75	1S P
63	pons	2	fallback	we	9762.843.AK5.T95	1C 1S
64	pons	4	representative	none	KQ532.A92.T2.QJ9	1S P 2D P
65	pons	4	representative	none	Q8743.AT4.A3.K85	1S P 2C P
66	pons	4	representative	none	J764.72.KT32.J98	P 3H P 6H
67	pons	4	representative	we	73.J53.A8763.JT2	P P 1S P
68	pons	4	representative	they	AQJ732.7543..972	2S P 2N P
69	pons	4	representative	we	KJT985.832.KQ7.6	2S X P P
70	pons	4	representative	they	K52.A987653.K.93	3H 3N P P
71	pons	4	representative	we	A8.AQT7.732.Q742	1C 1S P P
72	pons	4	representative	they	Q62.JT74.KQ.AJ97	1C 1D P 1S
73	pons	4	representative	we	854.A.KQJ975.KJ2	1D 1H P 2H
74	pons	4	representative	both	AQ9.A632.AJT.AT8	1C 1H X P
75	pons	4	representative	both	Q.K872.KT87.KT92	P 1D 1S 1N
76	pons	4	representative	both	Q83.A7642.93.QJT	P 1C P 1H
77	pons	4	representative	none	874.T954.82.AKJ2	P P P 1N
78	pons	4	representative	none	82.KJ654.KT2.A53	P 2S P 2N
79	pons	4	representative	none	T652.J9.852.AQ32	P 1N P 2D
80	pons	4	representative	none	K73.AKJ975.6.Q94	1H P 1N P
81	pons	4	representative	we	JT76.Q.QJ982.865	P 1S 2H 3S
82	pons	4	representative	they	AT92.T87.Q73.A52	P P P 1N
83	pons	4	representative	we	62.KJ5.QT98.A862	P 1S P 3N
84	pons	4	representative	they	AJ72.T7.KJT73.T8	P P 1D 1S
85	pons	4	representative	they	QT3.Q985.T864.J7	P 1N P 2S
86	pons	4	representative	we	T.KJT92.K986.632	P P 1S P
87	pons	4	representative	they	A8.984.98765.954	P P 2C P
88	pons	4	representative	we	J652.KT54.K84.T7	P P P 2C
89	pons	4	representative	both	A873.QJ5.AQ862.K	1D P 1S P
90	pons	4	representative	both	9753.T9.KT92.T72	P 1D P 1H
91	pons	4	representative	both	Q875.J986.T.QJ65	P P 1H X
92	pons	4	representative	none	43.KQ95.J73.J954	P P 1N 2S
93	pons	4	representative	none	A7.KT4.KQ9.QT532	1C 1H 1S 2C
94	pons	4	representative	none	.AQJ864.A863.J82	1H P 1S P
95	pons	4	representative	we	864.T983.52.AQ92	P P P 1N
96	pons	4	representative	we	J83.AQ3.QT42.AQJ	1N 2C 2D P
97	pons	4	representative	they	Q7653.86.K82.K75	P 1C P 1D
98	pons	4	representative	they	AT87.A3.A6532.A8	1N P 2H 2S
99	pons	4	representative	we	T765.A84.KQ6.J72	P 1C P 1H
100	pons	4	representative	they	KQT9863..AT.J985	1S 2H 3H 4H
101	pons	4	representative	we	T8764.T4.852.K92	P 1N 2H X
102	pons	4	representative	both	T4.J5.A7642.KT43	P P 1H 1S
103	pons	4	representative	both	7643.97.964.QT63	P 1D 1N 2H
104	pons	4	representative	both	A732.Q953.A76.85	P 1N P 2H
105	pons	4	representative	both	JT8652.AJ87.T.T7	2S P 2N P
106	pons	4	representative	none	JT73.KJ87..K9742	P 1D P 1N
107	pons	4	representative	none	K764.7.AT83.7432	P P P 1S
108	pons	4	representative	none	AQT8.QT9.A32.Q83	1C 1H 3C 3H
109	pons	4	representative	none	KJ95.963.T653.T6	P 1D 1H 1S
110	pons	4	representative	we	Q8.JT94.AKT9753.	3D P P 4C
111	pons	4	representative	we	AJ9875.K43.AKJ.3	1S P 1N P
112	pons	4	representative	they	AJ.T64.AJ62.A975	1D 1N P 2D
113	pons	4	representative	they	Q83.K9862.Q3.532	P P 1S 2N
114	pons	4	representative	we	AT9.93.AT74.Q765	P P 1H 1S
115	pons	4	representative	they	K9875.76.KT76.86	P P 1H P
116	pons	4	representative	we	AJ7.KT9865..Q742	1H P 1S P
117	pons	4	representative	both	K43.Q984.T6.8764	P 1N P 2H
118	pons	4	representative	both	T984.QJ94.K9.KT5	P P 1D P
119	pons	4	representative	both	4.986.AK432.JT32	P 1S 2S 4S
120	pons	4	representative	both	A754.765.K862.J8	P P 1N P
121	pons	4	representative	none	AJT2.98.T842.K82	P 1D 1H P
122	pons	4	representative	none	JT985.Q.QJ4.T964	P 1C 1H X
123	pons	4	representative	none	A5.52.964.AK8654	1C 1H P P
124	pons	4	representative	none	KQT6.A7.AJT4.AKJ	2C P 2D P
125	pons	4	representative	we	K94.KQ94.J732.82	P 1C P 1H
126	pons	4	neural-floor	none	A53.JT7.872.K985	P 1S P 1N
127	pons	4	systems-on	both	3.QJT63.AK9.Q765	1H P 4C X
128	pons	8	representative	none	A53.JT7.872.K985	P 1S P 1N P 2S P P
129	pons	8	representative	they	AQJ732.7543..972	2S P 2N P 3S P 4S P
130	pons	8	representative	we	A8.AQT7.732.Q742	1C 1S P P X 2D P 2S
131	pons	8	representative	they	Q62.JT74.KQ.AJ97	1C 1D P 1S P 1N P 2C
132	pons	8	representative	both	Q.K872.KT87.KT92	P 1D 1S 1N P P 2S P
133	pons	8	representative	both	Q83.A7642.93.QJT	P 1C P 1H P 1S P 2D
134	pons	8	representative	none	82.KJ654.KT2.A53	P 2S P 2N P 3C P 3S
135	pons	8	representative	none	T652.J9.852.AQ32	P 1N P 2D P 2H P 2S
136	pons	8	representative	none	K73.AKJ975.6.Q94	1H P 1N P 2H P 3H P
137	pons	8	representative	we	JT76.Q.QJ982.865	P 1S 2H 3S P 4S P P
138	pons	8	representative	we	62.KJ5.QT98.A862	P 1S P 3N P 4S P P
139	pons	8	representative	they	AJ72.T7.KJT73.T8	P P 1D 1S 2S P 3D P
140	pons	8	representative	they	QT3.Q985.T864.J7	P 1N P 2S P 2N P 3H
141	pons	8	representative	we	T.KJT92.K986.632	P P 1S P 1N P 2H P
142	pons	8	representative	they	A8.984.98765.954	P P 2C P 2D P 3C P
143	pons	8	representative	we	J652.KT54.K84.T7	P P P 2C P 2D P 2N
144	pons	8	representative	both	9753.T9.KT92.T72	P 1D P 1H P 1S P 2D
145	pons	8	representative	both	Q875.J986.T.QJ65	P P 1H X 3H P 4H 4S
146	pons	8	representative	none	A7.KT4.KQ9.QT532	1C 1H 1S 2C P 4H 4S P
147	pons	8	representative	none	.AQJ864.A863.J82	1H P 1S P 2H P 3H P
148	pons	8	representative	we	864.T983.52.AQ92	P P P 1N P 2D P 2H
149	pons	8	representative	they	Q7653.86.K82.K75	P 1C P 1D P 1S P 2D
150	pons	8	representative	we	T765.A84.KQ6.J72	P 1C P 1H P 1N P P
151	pons	8	representative	they	KQT9863..AT.J985	1S 2H 3H 4H 4S P P 5H
152	pons	8	representative	both	T4.J5.A7642.KT43	P P 1H 1S P 1N P 2S
153	pons	8	representative	both	7643.97.964.QT63	P 1D 1N 2H P 3H P P
154	pons	8	representative	both	A732.Q953.A76.85	P 1N P 2H P 2S P 3N
155	pons	8	representative	both	JT8652.AJ87.T.T7	2S P 2N P 3H P 4S P
156	pons	8	representative	none	K764.7.AT83.7432	P P P 1S P 2S P 3H
157	pons	8	representative	none	KJ95.963.T653.T6	P 1D 1H 1S P 2C 2H 3S
158	pons	8	representative	we	AJ9875.K43.AKJ.3	1S P 1N P 3S P 4S P
159	pons	8	representative	they	AJ.T64.AJ62.A975	1D 1N P 2D P 2H 3S P
160	pons	8	representative	they	Q83.K9862.Q3.532	P P 1S 2N 3S X P 4C
161	pons	8	representative	we	AT9.93.AT74.Q765	P P 1H 1S 1N P 2C P
162	pons	8	representative	they	K9875.76.KT76.86	P P 1H P 1S 1N X 2C
163	pons	8	representative	we	AJ7.KT9865..Q742	1H P 1S P 2H 3D 3H P
164	pons	8	representative	both	K43.Q984.T6.8764	P 1N P 2H P 2S P P
165	pons	8	representative	both	T984.QJ94.K9.KT5	P P 1D P 1H P 1S P
166	pons	8	representative	both	A754.765.K862.J8	P P 1N P 2C P 2H P
167	pons	8	representative	none	JT985.Q.QJ4.T964	P 1C 1H X P 2C P P
168	pons	8	representative	none	A5.52.964.AK8654	1C 1H P P 2C P 3N P
169	pons	8	representative	we	K94.KQ94.J732.82	P 1C P 1H P 2C P 3N
170	pons	8	representative	they	J54.KT83.AQ83.JT	P P 1N P 3C P 3D P
171	pons	8	representative	we	AT432..AKQJ84.96	1S 2H P 2S 3D 4H P P
172	pons	8	representative	they	AKJ4.653.QT53.98	P P P 1D P 1H P 2N
173	pons	8	representative	they	7652.AJ54.9.A762	P 2D X P 3C P 3S P
174	pons	8	representative	they	K2.J53.A97632.72	2D 2S P 3D P 4S P P
175	pons	8	representative	we	J8.KT965.J6.A532	P P 1S P 1N P 2H P
176	pons	8	representative	both	QT3.984.QJ.QT972	P 1D P 1H P 1N P 2H
177	pons	8	representative	both	A96.K5.KT92.J753	P 1H 1S 2H 2S 4H P P
178	pons	8	representative	none	AKJT953.9.A42.75	1S X 2H P P 3C P P
179	pons	8	representative	none	J74.532.AQ93.Q52	P P 1C 1S P P 1N P
180	pons	8	representative	we	K6.Q864.98.QT543	P 1N P 3C P 3S P 3N
